,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi,-0.0048863112802762,-0.1298007902471853,-0.2249098862495491,-0.0007823450605066,0.1601095418674257,-0.0247391934979995,-247391.9349799957
twoma_strategy,-0.15668221676129745,-0.2919335376585568,-0.27861965545905343,-0.02316904792084325,0.1478728626627799,-0.059377392408399676,-593773.9240839966
bulin_strategy,-0.3361475916812379,-0.45542377250291777,-0.2697596582746784,-0.05636457997993498,0.16767807170067245,-0.11871769411639976,-1187176.941163998
rsi_strategy,-0.1656623835799413,-0.28834186898029207,-0.22922997558473046,-0.027007348953139255,0.1630264419086226,-0.06974545941659938,-697454.5941659939
empty_strategy,-0.8901296283441092,-0.9919078499434855,0.0,-0.17491553976014138,0.1965056933174254,-0.29431160443451565,2818682.0999999996
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
