,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi_empty_vwap,0.21807718759671,0.0826922724405835,-0.1912644997767196,0.0322158768346122,0.14772694562711,0.0411824675356444,411824.675356444
twoma_strategy,-0.15795215103751378,-0.28649723671847394,-0.22945903737512074,-0.024575369832424386,0.15558743373230613,-0.06356194499218759,-635619.4499218762
bulin_strategy,0.1920414100756313,0.06875716994807769,-0.21424025693392146,0.03115425132635598,0.16222673700472498,0.032654456073242244,326544.5607324224
rsi_strategy,-0.08284009175787753,-0.21132884700391752,-0.19031445133656544,-0.012894527867321787,0.15565564443131613,-0.04380314262597651,-438031.4262597654
empty_strategy,0.18997007864973997,0.09204472162359008,0.0,0.0387989555348796,0.2042371925655499,0.03259121234311091,-305850.2197265625
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
