,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi,-0.0534452525003062,-0.1536719125522114,-0.2418642592414839,-0.0106648774832221,0.1995477050681169,-0.0555397229531252,-555397.2295312528
twoma_strategy,-0.18299337591482268,-0.2803401649192407,-0.2987592234185966,-0.037596181196386,0.205451049845027,-0.1012500146601567,-1012500.146601567
bulin_strategy,-0.10376671543310345,-0.1925180687924562,-0.3237889657394425,-0.023383691967592594,0.22534867630716945,-0.08486034975976553,-848603.4975976553
rsi_strategy,-0.12143111667712907,-0.2185571694897345,-0.2282379970702787,-0.025004849504471835,0.2059179738168493,-0.080624539349609,-806245.3934960905
empty_strategy,-0.26097345578094905,-0.3323683083795065,0.0,-0.07310707881095123,0.2801322402394612,-0.18478785637433515,1653512.109375
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
