,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi,-0.0636598526078186,-0.2117688851222082,-0.2424725439747109,-0.0085963498008311,0.1350356535348841,-0.0324432959764001,-324432.9597640019
twoma_strategy,0.018516775209049978,-0.12130526368888642,-0.27140591679905524,0.0026486203970414656,0.14303896694425314,-0.013660236292999617,-136602.3629299961
bulin_strategy,-0.3271789616228143,-0.46124888856510965,-0.25463483149189325,-0.04880721114491759,0.14917588497387738,-0.1020741534944003,-1020741.5349440034
rsi_strategy,-0.08081487428645853,-0.22968165835001017,-0.19017504801865515,-0.010857341319600004,0.1343483042628364,-0.03517957850380016,-351795.78503800184
empty_strategy,-0.2208434010093634,-0.3240074794466095,0.0,-0.04281401130214152,0.1938659299144115,-0.10484124568741704,1007578.8000000007
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
