,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi,0.1795835156580354,0.0534337062103251,-0.1322280492242276,0.0284714683984479,0.1585416584262863,0.0308100902163086,308100.90216308646
twoma_strategy,-0.23019897580236104,-0.3584786244405991,-0.22945903737512074,-0.03589017872219874,0.15590937621291812,-0.08556529951367187,-855652.9951367192
bulin_strategy,0.20642059222037162,0.08192776043438905,-0.21424025693392146,0.03316184382008954,0.16065181997291453,0.03834512616845709,383451.26168457046
rsi_strategy,-0.11441927163074465,-0.2444363480738463,-0.19031445133656544,-0.01760065289282475,0.1538259476919745,-0.05333489368066402,-533348.9368066397
empty_strategy,0.07580633421050832,-0.022394418865853336,0.0,0.015439053537921596,0.203664425917873,-0.009856743423081293,92500.0
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
