,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi_empty_vwap,0.1663109974776368,0.0253431022748536,-0.1977317687392962,0.0235955849717976,0.1418762759508459,0.0249762948794001,249762.9487940017
twoma_strategy,-0.20256909903089185,-0.335133559822005,-0.27861965545905343,-0.030561599665854294,0.1508699984946551,-0.06942155957799978,-694215.5957799982
bulin_strategy,-0.34384432105170304,-0.4604530035539686,-0.2697596582746784,-0.058974051275302336,0.1715138150164026,-0.11871769411639976,-1187176.941163998
rsi_strategy,-0.1949346590790051,-0.3150991300176569,-0.22922997558473046,-0.03244464150780909,0.16643854746558742,-0.07631579595899951,-763157.9595899954
empty_strategy,-0.9229362504654003,-1.0235050070132548,0.0,-0.1835433353550972,0.19886891999587572,-0.2944405356003097,2819916.8999999994
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
