,value,cash,date,position,strategy_name
2021-05-11,10464390.686894532,1091789.9056445314,2021-05-11,"{""hIXIC"": 700}",bulin_strategy
2021-05-12,10213965.686894532,1091789.9056445314,2021-05-12,"{""hIXIC"": 700}",bulin_strategy
2021-05-13,10279283.069707032,1091789.9056445314,2021-05-13,"{""hIXIC"": 700}",bulin_strategy
2021-05-14,10492776.233769532,1091789.9056445314,2021-05-14,"{""hIXIC"": 700}",bulin_strategy
2021-05-17,10457124.768925782,1091789.9056445314,2021-05-17,"{""hIXIC"": 700}",bulin_strategy
2021-05-18,10404337.659550782,1091789.9056445314,2021-05-18,"{""hIXIC"": 700}",bulin_strategy
2021-05-19,10401608.069707032,1091789.9056445314,2021-05-19,"{""hIXIC"": 700}",bulin_strategy
2021-05-20,10566808.069707032,1091789.9056445314,2021-05-20,"{""hIXIC"": 700}",bulin_strategy
2021-05-21,10521483.069707032,1091789.9056445314,2021-05-21,"{""hIXIC"": 700}",bulin_strategy
2021-05-24,10654608.850957032,1091789.9056445314,2021-05-24,"{""hIXIC"": 700}",bulin_strategy
2021-05-25,10651808.850957032,1091789.9056445314,2021-05-25,"{""hIXIC"": 700}",bulin_strategy
2021-05-26,10708389.905644532,1091789.9056445314,2021-05-26,"{""hIXIC"": 700}",bulin_strategy
2021-05-27,10707186.097050782,1091789.9056445314,2021-05-27,"{""hIXIC"": 700}",bulin_strategy
2021-05-28,10715908.069707032,1091789.9056445314,2021-05-28,"{""hIXIC"": 700}",bulin_strategy
2021-06-01,10707326.233769532,1091789.9056445314,2021-06-01,"{""hIXIC"": 700}",bulin_strategy
2021-06-02,10721220.960332032,1091789.9056445314,2021-06-02,"{""hIXIC"": 700}",bulin_strategy
2021-06-03,10621946.741582032,1091789.9056445314,2021-06-03,"{""hIXIC"": 700}",bulin_strategy
2021-06-04,10761933.069707032,1091789.9056445314,2021-06-04,"{""hIXIC"": 700}",bulin_strategy
2021-06-07,10808993.714238282,1091789.9056445314,2021-06-07,"{""hIXIC"": 700}",bulin_strategy
2021-06-08,10839227.015019532,1091789.9056445314,2021-06-08,"{""hIXIC"": 700}",bulin_strategy
2021-06-09,10830014.905644532,1091789.9056445314,2021-06-09,"{""hIXIC"": 700}",bulin_strategy
2021-06-10,10906020.960332032,1091789.9056445314,2021-06-10,"{""hIXIC"": 700}",bulin_strategy
2021-06-11,10940383.850957032,1091789.9056445314,2021-06-11,"{""hIXIC"": 700}",bulin_strategy
2021-06-14,11013687.659550782,1091789.9056445314,2021-06-14,"{""hIXIC"": 700}",bulin_strategy
2021-06-15,10942792.151738282,1091789.9056445314,2021-06-15,"{""hIXIC"": 700}",bulin_strategy
2021-06-16,10919565.686894532,1091789.9056445314,2021-06-16,"{""hIXIC"": 700}",bulin_strategy
2021-06-17,11004734.632207032,1091789.9056445314,2021-06-17,"{""hIXIC"": 700}",bulin_strategy
2021-06-18,10913055.823613282,1091789.9056445314,2021-06-18,"{""hIXIC"": 700}",bulin_strategy
2021-06-21,10990826.233769532,1091789.9056445314,2021-06-21,"{""hIXIC"": 700}",bulin_strategy
2021-06-22,11069078.577519532,1091789.9056445314,2021-06-22,"{""hIXIC"": 700}",bulin_strategy
2021-06-23,11082001.233769532,1091789.9056445314,2021-06-23,"{""hIXIC"": 700}",bulin_strategy
2021-06-24,11150586.878300782,1091789.9056445314,2021-06-24,"{""hIXIC"": 700}",bulin_strategy
2021-06-25,11144062.659550782,1091789.9056445314,2021-06-25,"{""hIXIC"": 700}",bulin_strategy
2021-06-28,11242146.741582032,1091789.9056445314,2021-06-28,"{""hIXIC"": 700}",bulin_strategy
2021-06-29,11261620.960332032,1091789.9056445314,2021-06-29,"{""hIXIC"": 700}",bulin_strategy
2021-06-30,11244555.042363282,1091789.9056445314,2021-06-30,"{""hIXIC"": 700}",bulin_strategy
2021-07-01,11257455.823613282,1091789.9056445314,2021-07-01,"{""hIXIC"": 700}",bulin_strategy
2021-07-02,11339320.960332032,1091789.9056445314,2021-07-02,"{""hIXIC"": 700}",bulin_strategy
2021-07-06,11356337.659550782,1091789.9056445314,2021-07-06,"{""hIXIC"": 700}",bulin_strategy
2021-07-07,11357331.604863282,1091789.9056445314,2021-07-07,"{""hIXIC"": 700}",bulin_strategy
2021-07-08,11283636.097050782,1091789.9056445314,2021-07-08,"{""hIXIC"": 700}",bulin_strategy
2021-07-09,11383133.850957032,1091789.9056445314,2021-07-09,"{""hIXIC"": 700}",bulin_strategy
2021-07-12,11405058.069707032,1091789.9056445314,2021-07-12,"{""hIXIC"": 700}",bulin_strategy
2021-07-13,11366145.179082032,1091789.9056445314,2021-07-13,"{""hIXIC"": 700}",bulin_strategy
2021-07-14,11343255.042363282,1091789.9056445314,2021-07-14,"{""hIXIC"": 700}",bulin_strategy
2021-07-15,11271980.823613282,1091789.9056445314,2021-07-15,"{""hIXIC"": 700}",bulin_strategy
2021-07-16,11190858.069707032,1091789.9056445314,2021-07-16,"{""hIXIC"": 700}",bulin_strategy
2021-07-19,11084276.233769532,1091789.9056445314,2021-07-19,"{""hIXIC"": 700}",bulin_strategy
2021-07-20,11241005.823613282,1091789.9056445314,2021-07-20,"{""hIXIC"": 700}",bulin_strategy
2021-07-21,11334155.042363282,1091789.9056445314,2021-07-21,"{""hIXIC"": 700}",bulin_strategy
2021-07-22,11371009.632207032,1091789.9056445314,2021-07-22,"{""hIXIC"": 700}",bulin_strategy
2021-07-23,11477683.069707032,1091789.9056445314,2021-07-23,"{""hIXIC"": 700}",bulin_strategy
2021-07-26,11480286.878300782,1091789.9056445314,2021-07-26,"{""hIXIC"": 700}",bulin_strategy
2021-07-27,11354195.960332032,1091789.9056445314,2021-07-27,"{""hIXIC"": 700}",bulin_strategy
2021-07-28,11425595.960332032,1091789.9056445314,2021-07-28,"{""hIXIC"": 700}",bulin_strategy
2021-07-29,11436571.741582032,1091789.9056445314,2021-07-29,"{""hIXIC"": 700}",bulin_strategy
2021-07-30,11362665.686894532,1091789.9056445314,2021-07-30,"{""hIXIC"": 700}",bulin_strategy
2021-08-02,11368539.124394532,1091789.9056445314,2021-08-02,"{""hIXIC"": 700}",bulin_strategy
2021-08-03,11424692.932988282,1091789.9056445314,2021-08-03,"{""hIXIC"": 700}",bulin_strategy
2021-08-04,11438161.097050782,1091789.9056445314,2021-08-04,"{""hIXIC"": 700}",bulin_strategy
2021-08-05,11518373.987675782,1091789.9056445314,2021-08-05,"{""hIXIC"": 700}",bulin_strategy
2021-08-06,11476821.741582032,1091789.9056445314,2021-08-06,"{""hIXIC"": 700}",bulin_strategy
2021-08-09,11493915.686894532,1091789.9056445314,2021-08-09,"{""hIXIC"": 700}",bulin_strategy
2021-08-10,11443452.796269532,1091789.9056445314,2021-08-10,"{""hIXIC"": 700}",bulin_strategy
2021-08-11,11427387.659550782,1091789.9056445314,2021-08-11,"{""hIXIC"": 700}",bulin_strategy
2021-08-12,11463171.741582032,1091789.9056445314,2021-08-12,"{""hIXIC"": 700}",bulin_strategy
2021-08-13,11467820.179082032,1091789.9056445314,2021-08-13,"{""hIXIC"": 700}",bulin_strategy
2021-08-16,11447421.741582032,1091789.9056445314,2021-08-16,"{""hIXIC"": 700}",bulin_strategy
2021-08-17,11351115.686894532,1091789.9056445314,2021-08-17,"{""hIXIC"": 700}",bulin_strategy
2021-08-18,11259927.015019532,1091789.9056445314,2021-08-18,"{""hIXIC"": 700}",bulin_strategy
2021-08-19,11271042.932988282,1091789.9056445314,2021-08-19,"{""hIXIC"": 700}",bulin_strategy
2021-08-20,11392052.015019532,1091789.9056445314,2021-08-20,"{""hIXIC"": 700}",bulin_strategy
2021-08-23,11551645.179082032,1091789.9056445314,2021-08-23,"{""hIXIC"": 700}",bulin_strategy
2021-08-24,11605649.768925782,1091789.9056445314,2021-08-24,"{""hIXIC"": 700}",bulin_strategy
2021-08-25,11612668.709941408,11612668.709941408,2021-08-25,{},bulin_strategy
2021-08-26,11612668.709941408,11612668.709941408,2021-08-26,{},bulin_strategy
2021-08-27,11612668.709941408,11612668.709941408,2021-08-27,{},bulin_strategy
2021-08-30,11612668.709941408,11612668.709941408,2021-08-30,{},bulin_strategy
2021-08-31,11612668.709941408,11612668.709941408,2021-08-31,{},bulin_strategy
2021-09-01,11612668.709941408,11612668.709941408,2021-09-01,{},bulin_strategy
2021-09-02,11612668.709941408,11612668.709941408,2021-09-02,{},bulin_strategy
2021-09-03,11612668.709941408,11612668.709941408,2021-09-03,{},bulin_strategy
2021-09-07,11612668.709941408,11612668.709941408,2021-09-07,{},bulin_strategy
2021-09-08,11612668.709941408,11612668.709941408,2021-09-08,{},bulin_strategy
2021-09-09,11612668.709941408,11612668.709941408,2021-09-09,{},bulin_strategy
2021-09-10,11612668.709941408,11612668.709941408,2021-09-10,{},bulin_strategy
2021-09-13,11612668.709941408,11612668.709941408,2021-09-13,{},bulin_strategy
2021-09-14,11612668.709941408,11612668.709941408,2021-09-14,{},bulin_strategy
2021-09-15,11612668.709941408,11612668.709941408,2021-09-15,{},bulin_strategy
2021-09-16,11612668.709941408,11612668.709941408,2021-09-16,{},bulin_strategy
2021-09-17,11612668.709941408,11612668.709941408,2021-09-17,{},bulin_strategy
2021-09-20,11612668.709941408,11612668.709941408,2021-09-20,{},bulin_strategy
2021-09-21,11610604.21388672,1288123.9404492201,2021-09-21,"{""hIXIC"": 700}",bulin_strategy
2021-09-22,11715918.66701172,1288123.9404492201,2021-09-22,"{""hIXIC"": 700}",bulin_strategy
2021-09-23,11824692.10451172,1288123.9404492201,2021-09-23,"{""hIXIC"": 700}",bulin_strategy
2021-09-24,11821514.07716797,1288123.9404492201,2021-09-24,"{""hIXIC"": 700}",bulin_strategy
2021-09-27,11767102.74904297,1288123.9404492201,2021-09-27,"{""hIXIC"": 700}",bulin_strategy
2021-09-28,11470799.72169922,1288123.9404492201,2021-09-28,"{""hIXIC"": 700}",bulin_strategy
2021-09-29,11446832.24123047,1288123.9404492201,2021-09-29,"{""hIXIC"": 700}",bulin_strategy
2021-09-30,11402129.99513672,1288123.9404492201,2021-09-30,"{""hIXIC"": 700}",bulin_strategy
2021-10-01,11484814.07716797,1288123.9404492201,2021-10-01,"{""hIXIC"": 700}",bulin_strategy
2021-10-04,11266960.26857422,1288123.9404492201,2021-10-04,"{""hIXIC"": 700}",bulin_strategy
2021-10-05,11391804.99513672,1288123.9404492201,2021-10-05,"{""hIXIC"": 700}",bulin_strategy
