,sharpe_ratio,sharpe_ratio(0.02),max_drawdown,annual_return,annual_volatility,total_return,total_profits
two_bulin_rsi_empty_vwap,0.0193746907125225,-0.1223965022825121,-0.2404709290489662,0.0027332337837068,0.1410723827421024,-0.0133119805732,-133119.80573200062
twoma_strategy,0.17029591686253256,0.03145808691073493,-0.27140591679905524,0.024531630452832156,0.14405295737439638,0.02452091182540017,245209.11825400218
bulin_strategy,-0.12291190232544788,-0.2561144037447181,-0.25463483149189325,-0.01845489401712788,0.1501473304697762,-0.050056463494400294,-500564.6349440031
rsi_strategy,-0.07345880619606496,-0.22025755872881655,-0.19017504801865515,-0.010008096789470455,0.13624093975551932,-0.032821161499000384,-328211.6149900034
empty_strategy,-0.055342590842467426,-0.15733432202366845,0.0,-0.010852368167796743,0.19609432812222302,-0.05071546001802918,487401.9000000004
true_empty_strategy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
