open,high,low,close,volume,amount,SMA,upper,middle,lower,DEMA,MA,EMA,KAMA,MIDPOINT,SAR,T3,TEMA,SAREXT,WMA,ATR,NATR,TRANGE,AD,ADOSC,OBV,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,ADX,ADXR,APO,AROON_aroondown,AROON_aroonup,AROONOSC,BOP,CCI,CMO,DX,MACD_macd,MACD_macdsignal,MACD_macdhist,MACDEXT_macd,MACDEXT_macdsignal,MACDEXT_macdhist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DIF,DEA,MACD,K,D,J,BIAS1,BIAS2,BIAS3,UPPER,MID,LOWER,PSY,PSYMA,BBI,PDI,MDI,UP,DOWN,TRMA,VR,EMV,MAEMV,DPO,MADPO,AR,BR,DFMA_DIF,DFMA_DMA,MTM,MTMMA,MASS,MA_MASS,MAROC,EMA1,EMA2,ASI,ASIT,XSII_TD1,XSII_TD2,XSII_TD3,XSII_TD4,sar_x,SarX
2825.611,2855.332,2808.653,2819.812,36548741700.0,338833084229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19074185320.03029,0.0,36548741700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2827.352,2831.9925,2827.9323333333327,2825.90225,0.0,0.0,0.0,0.0,0.0,0.0,-0.12423145311596151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827.9323333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819.812,2819.812,0.0,0.0,0.0,0.0,3017.19884,2622.42516,0.0,2808.653
2807.338,2944.506,2804.293,2923.94,36146532200.0,341185189116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2944.506,0.0,0.0,-2944.506,0.0,0.0,0.0,140.21299999999974,6468628519.686508,0.0,72695273900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2870.01925,2874.3995,2890.913,2899.16975,0.0,0.0,0.0,0.0,0.0,0.0,0.8316061991398807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307,1.661,13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2833.9304920634913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.8316923076923,2823.895450980392,0.0,0.0,0.0,0.0,3128.6158,2719.2642,0.0,2941.70174
2936.124,3028.225,2912.246,2967.549,46615668500.0,464857500377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,115.97899999999981,4309048019.3329735,0.0,119310942400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2961.036,2970.2355,2969.34,2968.89225,0.0,0.0,0.0,0.0,0.0,0.0,0.2709542244716736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.199,4.969,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.826635676492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.095893491124,2829.528923490965,0.0,0.0,0.0,0.0,3175.27743,2759.82057,0.0,2804.293
2975.403,3104.89,2968.876,3104.351,42681292800.0,433875560243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,137.3409999999999,46652063629.93791,0.0,161992235200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3038.38,3036.883,3059.3723333333332,3070.617,0.0,0.0,0.0,0.0,0.0,0.0,0.9480494654962036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.654,11.306,50.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2867.0690830723815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.288986800182,2840.306259824653,0.0,0.0,0.0,0.0,3321.6555700000004,2887.04643,0.0,2816.3168800000003
3143.968,3195.798,3011.936,3124.885,52488126000.0,554362904944.0,2988.1074,3216.290013004947,2988.1074,2759.9247869950527,0.0,0.0,0.0,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,183.86199999999963,58652318519.6706,0.0,214480361200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3119.14675,3103.867,3110.873,3114.376,0.0,0.0,0.0,0.0,0.0,0.0,-0.10378979887089049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.09130650247357,0.0,13016.82621944137,52.334,19.512,65.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.288503732155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929.765296523231,2851.4662104197646,0.0,0.0,3035.307279,2916.275621,3343.6269500000003,2906.14305,0.0,2839.0857472000002
3108.272,3270.881,3075.7,3252.881,48446234400.0,515773683037.0,3074.7212,3311.917548660799,3076.3652666666667,2840.812984672534,0.0,0.0,3032.2363333333337,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,195.18100000000004,98162926816.72,0.0,262926595600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3176.9335,3173.2905,3199.8206666666665,3213.08575,0.0,0.0,0.0,0.0,0.0,0.0,0.7408969110722862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.96164088064267,0.0,0.0,0.0,0.0,0.0,117.77614099706636,0.0,13871.219388160855,74.233,30.456,87.555,0.0,0.0,0.0,7.277,0.0,0.0,0.0,2919.7677573449655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2979.475404750426,2867.2079668738916,0.0,0.0,3114.292713,2992.163587,3480.5826700000002,3025.1793299999995,0.0,2873.629367424
3233.097,3387.827,3074.516,3106.913,63287456700.0,702150099247.0,3111.3158,3267.5707488710586,3086.5478444444443,2905.52494001783,0.0,0.0,3053.5725238095242,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,313.31100000000015,47963575767.07952,0.0,199639138900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3200.5882500000002,3231.1715000000004,3189.7520000000004,3169.0422500000004,0.0,0.0,0.0,0.0,0.0,0.0,-0.4027435998097741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.93245945485624,72.98724769246913,40.93245945485624,72.98724769246913,0.0,0.0,0.0,-1.7848909781942937,0.0,0.0,0.0,0.0,0.0,90.51145221330707,0.0,8192.322981761768,78.901,40.145,77.511,0.0,0.0,0.0,0.871,0.0,0.0,0.0,2945.480542359731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.081188634976,2876.608164251386,0.0,0.0,3169.346703,3045.058597,3324.3969100000004,2889.4290899999996,0.0,2925.0491306816
3120.212,3229.047,3058.191,3221.546,42501870800.0,477300103105.0,3162.1151999999997,3256.576902641497,3131.5472296296293,3006.517556617762,0.0,0.0,3101.5649455782313,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,170.85600000000022,86733572557.72885,0.0,242141009700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3157.249,3143.6189999999997,3169.5946666666664,3182.5824999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.5930959404410714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.31015560292244,65.79494062897663,60.31015560292244,65.79494062897663,0.0,0.0,0.0,0.21335091044984775,0.0,0.0,0.0,0.0,0.0,62.51483650593386,0.0,3908.1047833636403,90.803,50.276,81.052,0.0,0.0,0.0,2.935,0.0,0.0,0.0,2966.824744674677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.306544229595,2890.1351382023117,0.0,0.0,3212.939514,3086.941886,3447.05422,2996.0377799999997,0.0,2971.3269176134404
3185.161,3254.424,3158.443,3183.012,36709169100.0,392944833604.0,3177.8473999999997,3259.70841158103,3148.7021530864195,3037.695894591809,0.0,0.0,3124.8355325558796,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,95.98099999999977,68817864155.53156,0.0,205431840600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3195.26,3206.4335,3198.6263333333336,3194.72275,0.0,0.0,0.0,0.0,0.0,0.0,-0.022389847990747048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.512129846152206,48.91824830131031,45.512129846152206,48.91824830131031,0.0,0.0,0.0,0.17802737151803383,0.0,0.0,0.0,0.0,0.0,55.50312924730514,0.0,3080.597356243059,96.019,59.425,73.188,64.90093122251659,64.90093122251659,64.90093122251659,0.55,0.0,0.0,0.0,2988.9010864516913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3056.3381528096575,2901.620505331633,0.0,0.0,3238.2570869999995,3111.266613,3405.8228400000003,2960.20116,0.0,3012.9769258520964
3182.923,3239.447,3167.928,3193.227,30106532500.0,337817436996.0,3191.5157999999997,3261.115802712763,3163.5437687242797,3065.9717347357964,0.0,0.0,3144.3759518256284,0.0,0.0,2804.293,0.0,0.0,2804.293,0.0,0.0,0.0,71.51900000000023,60010990926.98381,17161620667.824837,235538373100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3195.8812499999995,3203.6875,3200.200666666666,3198.45725,0.0,0.0,0.0,0.0,0.0,0.0,0.1440736028188321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.965185841352245,48.92915709680897,40.965185841352245,48.92915709680897,0.0,0.0,0.0,0.2009327182667581,0.0,0.0,0.0,0.0,0.0,48.786016994241635,0.0,2380.0754541624337,99.826,67.505,64.642,65.48444477956724,65.09543574153348,66.26246285563477,0.403,0.0,0.0,0.0,3009.0248559959746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077.3979754543257,2913.0560541421573,0.0,0.0,3255.4096619999996,3127.746538,3416.75289,2969.7011099999995,0.0,3050.4619332668867
