open,high,low,close,volume,amount,DIF,DEA,MACD,K,D,J,BIAS1,BIAS2,BIAS3,UPPER,MID,LOWER,PSY,PSYMA,CCI,ATR,BBI,PDI,MDI,ADX,ADXR,UP,DOWN,TRIX,TRMA,VR,EMV,MAEMV,DPO,MADPO,AR,BR,DFMA_DIF,DFMA_DMA,MTM,MTMMA,MASS,MA_MASS,ROC,MAROC,EMA1,EMA2,OBV,MFI,ASI,ASIT,XSII_TD1,XSII_TD2,XSII_TD3,XSII_TD4,sar_x,SarX
3166.6133,3182.3822,3165.6966,3180.418,2500413500.0,70578360999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3176.1656000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.418,3180.418,0.0,0.0,0.0,0.0,0.0,0.0,3403.0472600000003,2957.78874,0.0,3165.6966
3179.9886,3198.0314,3169.0232,3190.8718,2741773700.0,72571925166.0,0.834,0.167,1.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.0998730158735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011968780829998333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.026276923077,3180.8279529411766,274177.37,0.0,0.0,0.0,0.0,0.0,3414.232826,2967.510774,0.0,3165.6966
3191.1742,3221.4223,3191.1742,3221.4223,2726907900.0,86537208757.0,3.915,0.916,5.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.360799395314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006535943313731012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3188.087203550296,3182.419888119954,546868.16,0.0,0.0,0.0,0.0,0.0,3446.9218610000003,2995.922739,0.0,3169.0232
3234.4305,3257.1878,3223.2093,3228.1422,3541274300.0,92818439924.0,6.82,2.097,9.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.6768915163952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01478886237957663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3194.2495106964047,3184.2129199583874,900995.59,0.0,0.0,0.0,0.0,0.0,3454.112154,3002.1722459999996,0.0,3176.076368
3255.5554,3262.0849,3237.1585,3254.4994,3778374300.0,92537336253.0,11.121,3.902,14.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191.921720895786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027241608200452072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3203.5187244354192,3186.969252509039,1278833.02,0.0,0.0,0.0,3277.1619678,3148.6458122,3482.3143580000005,3026.6844419999998,0.0,3184.6772212
3263.2584,3306.9731,3247.3261,3304.708,3274665800.0,94746328236.0,18.369,6.795,23.148,0.0,0.0,0.0,2.313,0.0,0.0,0.0,3200.913531604124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0470842162416861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219.086305291509,3191.5864582929985,1606299.6,0.0,0.0,0.0,3300.3567881999998,3170.9310318,3536.03756,3073.37844,0.0,3199.352726656
3312.3332,3393.1608,3309.9498,3360.1836,4255631300.0,119308179951.0,28.264,11.089,34.35,0.0,0.0,0.0,3.074,0.0,0.0,0.0,3215.5342809751596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0762925217729278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240.7935814005073,3198.1981109089593,2031862.73,0.0,0.0,0.0,3334.7654478,3203.9903322000005,3595.396452,3124.9707479999997,0.0,3226.48585692416
3339.2392,3353.6302,3332.9864,3353.6302,3939067800.0,96470045967.0,35.172,15.906,38.532,0.0,0.0,0.0,2.024,0.0,0.0,0.0,3228.030914533081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10823892806811133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.153061185045,3204.2934869517453,1637955.95,0.0,0.0,0.0,3362.2256786999997,3230.3736912999993,3588.3843140000004,3118.8760859999998,0.0,3249.8203489547777
3391.6223,3428.7376,3363.6875,3366.0678,3974870500.0,117272649774.0,41.175,20.96,40.431,76.17489288742053,76.17489288742053,76.17489288742053,1.657,0.0,0.0,0.0,3243.091236958502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1407732241679663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.755328695038,3210.6375776595205,2035443.0,0.0,0.0,0.0,3392.2075179000003,3259.1797721000003,3601.692546,3130.4430539999994,0.0,3278.4471091220134
3353.0296,3364.5176,3342.1208,3350.4973,3146983300.0,83756119301.0,44.167,25.601,37.132,74.07475699286266,75.47484758923457,71.27457580011884,0.567,0.0,0.0,0.0,3253.4995540735654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1692281661963805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3286.4079396650322,3216.1222726532646,1720744.67,0.0,0.0,0.0,3412.5764486999997,3278.7499212999996,3585.032111,3115.962489,0.0,3302.4935876624913
