date,code,open,high,low,close,volume,amount
20201201,h000016,3480.5639,3559.0654,3476.9373,3554.0139,5248868900.0,91200352101.0
20201202,h000016,3555.5954,3568.7242,3527.1245,3545.3401,3944280600.0,71352289814.0
20201203,h000016,3545.2791,3550.1047,3519.4256,3536.8144,3586787100.0,64650049329.0
20201204,h000016,3535.9378,3546.7128,3504.4339,3541.5209,3323861700.0,68848489662.0
20201207,h000016,3547.9306,3548.7778,3495.6505,3509.9419,3545074500.0,74234250173.0
20201208,h000016,3512.8571,3529.353,3490.8861,3499.0572,2893594100.0,64329952448.0
20201209,h000016,3511.7581,3517.9161,3467.9951,3468.5269,3065472700.0,61382484940.0
20201210,h000016,3464.9419,3478.9057,3442.1525,3459.0346,2922844300.0,57283741671.0
20201211,h000016,3473.8739,3477.4658,3404.9293,3427.8565,3890638700.0,74533297054.0
20201214,h000016,3443.0277,3472.1168,3435.3069,3467.7669,2498221800.0,69626860399.0
20201215,h000016,3466.4917,3476.8771,3443.861,3468.8286,2615418200.0,70666981437.0
20201216,h000016,3480.9266,3494.6464,3469.5518,3485.4049,2246253000.0,62162165112.0
20201217,h000016,3497.3913,3543.7345,3491.919,3539.5401,2709120100.0,79778025449.0
20201218,h000016,3529.0228,3538.5651,3493.296,3507.9743,2627780000.0,71633942391.0
20201221,h000016,3505.9056,3531.4189,3481.263,3522.262,2671759500.0,78726944693.0
20201222,h000016,3519.0501,3526.1124,3467.5324,3470.9024,3487845900.0,95554575234.0
20201223,h000016,3483.188,3516.0239,3473.0965,3494.5868,2723877500.0,80717057529.0
20201224,h000016,3495.8485,3521.0377,3474.016,3489.2742,2011957100.0,64344686337.0
20201225,h000016,3476.5528,3514.5138,3468.403,3512.4862,2105465600.0,65661287082.0
20201228,h000016,3514.712,3548.5321,3503.972,3523.8369,2641329900.0,75670329606.0
20201229,h000016,3533.1259,3539.6681,3513.6554,3517.35,2601459000.0,73295610481.0
20201230,h000016,3513.7859,3574.2063,3512.3138,3574.1307,2678723400.0,77252184878.0
20201231,h000016,3581.4493,3646.7531,3581.3638,3640.6389,3657484600.0,100746203514.0
20210104,h000016,3632.6913,3659.1678,3608.3417,3643.3592,4354664400.0,116996098319.0
20210105,h000016,3627.6453,3683.3634,3620.5578,3683.3634,4723374300.0,130233796458.0
20210106,h000016,3688.9529,3736.648,3670.5407,3736.648,4516610600.0,125368281927.0
20210107,h000016,3750.8769,3808.0695,3729.9875,3808.0695,4291806300.0,127100876695.0
20210108,h000016,3815.568,3833.8627,3752.085,3788.3191,4158564400.0,129477191760.0
20210111,h000016,3794.8301,3849.6794,3763.1501,3776.5293,4745100000.0,133463536511.0
20210112,h000016,3764.6493,3906.1225,3764.6493,3906.1225,4817586700.0,140450394806.0
20210113,h000016,3913.999,3931.9451,3844.2802,3873.2285,5527384900.0,147747548687.0
20210114,h000016,3863.0972,3866.9494,3800.7934,3811.2242,5086885900.0,141810909103.0
20210115,h000016,3825.5412,3866.0073,3789.4757,3817.9345,5563524300.0,144481907994.0
20210118,h000016,3807.9917,3873.4491,3796.4321,3849.3982,4224838400.0,121227239779.0
20210119,h000016,3855.7473,3862.1058,3792.5948,3808.694,4274705600.0,123416506307.0
20210120,h000016,3813.9062,3838.3132,3790.5383,3814.6537,3437234300.0,105285957410.0
20210121,h000016,3833.7837,3874.6652,3812.8064,3850.0559,3673022900.0,119776906641.0
20210122,h000016,3851.1337,3862.8948,3823.326,3846.3945,3825948000.0,119198772455.0
20210125,h000016,3843.4923,3903.1884,3828.747,3898.1473,3733650100.0,136340715179.0
20210126,h000016,3878.2543,3878.2543,3809.6558,3813.2902,2958442000.0,100532288564.0
