date,code,open,high,low,close,volume,amount
20101201,h000300,3127.262,3150.436,3111.645,3136.024,4888266800.0,69472579579.0
20101202,h000300,3185.76,3194.226,3154.32,3155.059,6102390800.0,89764278070.0
20101203,h000300,3161.93,3171.378,3134.419,3158.156,5047535400.0,71387337327.0
20101206,h000300,3168.875,3185.332,3140.555,3165.57,5636263000.0,80043207937.0
20101207,h000300,3152.733,3214.691,3112.223,3200.339,5848365300.0,85548293130.0
20101208,h000300,3194.895,3215.281,3166.766,3171.882,5951566300.0,87056105048.0
20101209,h000300,3155.996,3175.052,3122.196,3123.366,6615296500.0,83159036199.0
20101210,h000300,3107.379,3172.163,3101.083,3161.977,5710810500.0,78069117443.0
20101213,h000300,3176.335,3261.344,3173.564,3261.061,9571373900.0,132088353616.0
20101214,h000300,3270.201,3279.365,3254.181,3269.474,8410424100.0,114928736614.0
20101215,h000300,3270.781,3282.772,3242.516,3247.644,7226978500.0,104793174443.0
20101216,h000300,3246.013,3258.394,3224.122,3230.665,5679962500.0,79262377015.0
20101217,h000300,3229.297,3232.839,3212.579,3225.661,4491914700.0,65697259729.0
20101220,h000300,3239.022,3249.763,3117.998,3178.657,7475969300.0,107521977283.0
20101221,h000300,3184.7,3251.551,3168.889,3249.509,7985242000.0,112461675290.0
20101222,h000300,3253.821,3263.45,3201.669,3215.453,6993625800.0,98309032433.0
20101223,h000300,3210.67,3237.644,3183.152,3188.607,6131584700.0,84430476449.0
20101224,h000300,3170.642,3187.724,3139.454,3162.955,5513776700.0,72989136209.0
20101227,h000300,3176.107,3219.655,3092.263,3099.709,7001710700.0,99855478580.0
20101228,h000300,3084.823,3095.358,3041.328,3044.931,5632574900.0,74843956564.0
20101229,h000300,3049.928,3062.557,3025.22,3061.83,4519277500.0,60134777207.0
20101230,h000300,3063.05,3079.909,3027.898,3064.098,5428142900.0,70284275917.0
20101231,h000300,3069.053,3129.446,3067.108,3128.261,6256607800.0,90545901164.0
20110104,h000300,3155.557,3194.358,3143.604,3189.682,8541044000.0,129159620771.0
20110105,h000300,3170.181,3193.779,3158.871,3175.662,7926881000.0,116943213907.0
20110106,h000300,3177.835,3198.052,3152.572,3159.643,5968109200.0,91568447016.0
20110107,h000300,3156.362,3209.9,3141.125,3166.624,8409323300.0,113651250191.0
20110110,h000300,3162.085,3182.782,3102.428,3108.187,6549440600.0,87992881712.0
20110111,h000300,3096.249,3131.292,3084.513,3124.922,5698591700.0,74832449402.0
20110112,h000300,3135.18,3153.43,3099.413,3142.337,5849851800.0,71551421416.0
