date,code,open,high,low,close,volume,amount
20101201,hDJI,11007.23046875,11276.099609375,11007.23046875,11255.7802734375,202520000.0,
20101202,hDJI,11255.9296875,11373.7998046875,11255.849609375,11362.41015625,212090000.0,
20101203,hDJI,11361.8798828125,11388.8701171875,11318.8203125,11382.08984375,149440000.0,
20101206,hDJI,11381.330078125,11392.080078125,11350.26953125,11362.1904296875,122240000.0,
20101207,hDJI,11363.849609375,11450.8896484375,11354.08984375,11359.16015625,175720000.0,
20101208,hDJI,11354.4501953125,11389.08984375,11327.490234375,11372.48046875,152510000.0,
20101209,hDJI,11370.4404296875,11413.349609375,11331.5,11370.0595703125,167970000.0,
20101210,hDJI,11370.0595703125,11413.6904296875,11357.7197265625,11410.3203125,151820000.0,
20101213,hDJI,11406.16015625,11480.0302734375,11405.330078125,11428.5595703125,151190000.0,
20101214,hDJI,11429.240234375,11514.080078125,11428.9404296875,11476.5400390625,149860000.0,
20101215,hDJI,11475.6396484375,11519.0400390625,11445.669921875,11457.4697265625,189670000.0,
20101216,hDJI,11457.9296875,11514.83984375,11421.2998046875,11499.25,163040000.0,
20101217,hDJI,11499.01953125,11503.1796875,11451.0,11491.91015625,358300000.0,
20101220,hDJI,11491.2998046875,11517.0703125,11442.6796875,11478.1298828125,125360000.0,
20101221,hDJI,11478.3603515625,11549.1201171875,11478.2900390625,11533.16015625,119420000.0,
20101222,hDJI,11532.169921875,11566.990234375,11528.080078125,11559.490234375,122040000.0,
20101223,hDJI,11559.1103515625,11580.83984375,11542.6201171875,11573.490234375,100840000.0,
20101227,hDJI,11572.8095703125,11573.1904296875,11518.4404296875,11555.0302734375,76820000.0,
20101228,hDJI,11554.7998046875,11591.1298828125,11541.1396484375,11575.5400390625,114100000.0,
20101229,hDJI,11572.740234375,11625.0,11572.66015625,11585.3798828125,77800000.0,
20101230,hDJI,11585.3798828125,11594.3798828125,11551.9296875,11569.7099609375,76820000.0,
20101231,hDJI,11569.330078125,11597.41015625,11530.3203125,11577.509765625,93330000.0,
20110103,hDJI,11577.4296875,11711.4697265625,11577.349609375,11670.75,203420000.0,
20110104,hDJI,11670.900390625,11698.2197265625,11635.740234375,11691.1796875,178630000.0,
20110105,hDJI,11688.6103515625,11742.6796875,11652.8896484375,11722.8896484375,169990000.0,
20110106,hDJI,11716.9296875,11736.740234375,11667.4599609375,11697.3095703125,193080000.0,
20110107,hDJI,11696.8603515625,11726.9404296875,11599.6796875,11674.759765625,188720000.0,
20110110,hDJI,11672.33984375,11677.330078125,11573.8701171875,11637.4501953125,150340000.0,
20110111,hDJI,11638.509765625,11704.1201171875,11635.48046875,11671.8798828125,157440000.0,
20110112,hDJI,11673.6201171875,11782.23046875,11673.6201171875,11755.4404296875,144960000.0,
20110113,hDJI,11753.7001953125,11757.25,11700.5302734375,11731.900390625,161660000.0,
20110114,hDJI,11732.1298828125,11794.150390625,11698.830078125,11787.3798828125,200770000.0,
20110118,hDJI,11783.8203125,11858.7802734375,11777.990234375,11837.9296875,203390000.0,
20110119,hDJI,11834.2099609375,11861.240234375,11798.4599609375,11825.2900390625,166250000.0,
20110120,hDJI,11823.7001953125,11845.16015625,11744.76953125,11822.7998046875,180800000.0,
20110121,hDJI,11822.9501953125,11905.48046875,11822.7998046875,11871.83984375,249480000.0,
20110124,hDJI,11873.4296875,11982.9404296875,11867.98046875,11980.51953125,184000000.0,
20110125,hDJI,11980.51953125,11985.9697265625,11898.740234375,11977.1904296875,191950000.0,
20110126,hDJI,11978.849609375,12020.51953125,11961.830078125,11985.4404296875,168320000.0,
20110127,hDJI,11985.3603515625,12019.5302734375,11971.9296875,11989.830078125,167770000.0,
20110128,hDJI,11990.3603515625,12012.419921875,11803.0400390625,11823.7001953125,214170000.0,
20110131,hDJI,11824.3896484375,11891.9296875,11817.8798828125,11891.9296875,206580000.0,
20110201,hDJI,11892.5,12050.75,11892.5,12040.16015625,180890000.0,
20110202,hDJI,12038.26953125,12057.91015625,12018.509765625,12041.9697265625,143440000.0,
20110203,hDJI,12040.6796875,12080.5400390625,11981.0498046875,12062.259765625,143710000.0,
20110204,hDJI,12061.73046875,12092.419921875,12025.7802734375,12092.150390625,121780000.0,
20110207,hDJI,12092.3798828125,12188.759765625,12092.2998046875,12161.6298828125,132960000.0,
20110208,hDJI,12152.7001953125,12238.7900390625,12150.0498046875,12233.150390625,126650000.0,
20110209,hDJI,12229.2900390625,12254.23046875,12188.1904296875,12239.8896484375,162910000.0,
20110210,hDJI,12239.66015625,12239.66015625,12156.9404296875,12229.2900390625,274440000.0,
20110211,hDJI,12227.7802734375,12285.9404296875,12180.48046875,12273.259765625,184290000.0,
20110214,hDJI,12266.830078125,12276.2099609375,12235.91015625,12268.1904296875,146350000.0,
20110215,hDJI,12266.75,12267.66015625,12193.26953125,12226.6396484375,142580000.0,
20110216,hDJI,12219.7900390625,12303.16015625,12219.7900390625,12288.169921875,146270000.0,
20110217,hDJI,12287.7197265625,12331.3095703125,12253.240234375,12318.1396484375,130860000.0,
20110218,hDJI,12318.669921875,12391.2900390625,12303.23046875,12391.25,230040000.0,
20110222,hDJI,12389.740234375,12389.8203125,12176.3095703125,12212.7900390625,201860000.0,
20110223,hDJI,12211.8095703125,12221.1201171875,12063.4296875,12105.7802734375,213490000.0,
20110224,hDJI,12104.5595703125,12129.6201171875,11983.169921875,12068.5,190860000.0,
20110225,hDJI,12060.9296875,12151.0302734375,12060.9296875,12130.4501953125,147540000.0,
20110228,hDJI,12130.4501953125,12235.0400390625,12130.150390625,12226.33984375,199560000.0,
20110301,hDJI,12226.490234375,12261.3798828125,12054.990234375,12058.01953125,183240000.0,
20110302,hDJI,12057.33984375,12115.1201171875,12018.6298828125,12066.7998046875,147270000.0,
20110303,hDJI,12068.009765625,12283.099609375,12068.009765625,12258.2001953125,157840000.0,
20110304,hDJI,12258.8798828125,12271.3701171875,12079.509765625,12169.8798828125,166700000.0,
20110307,hDJI,12171.08984375,12243.4404296875,12041.599609375,12090.0302734375,176200000.0,
20110308,hDJI,12085.8701171875,12251.2001953125,12072.2099609375,12214.3798828125,158610000.0,
20110309,hDJI,12211.16015625,12257.8203125,12156.599609375,12213.08984375,128360000.0,
20110310,hDJI,12211.4296875,12211.4296875,11974.3896484375,11984.6103515625,180660000.0,
20110311,hDJI,11976.9599609375,12087.009765625,11936.3203125,12044.400390625,143670000.0,
20110314,hDJI,12042.1298828125,12042.1298828125,11897.3095703125,11993.16015625,163000000.0,
20110315,hDJI,11988.6904296875,11988.6904296875,11696.25,11855.419921875,221930000.0,
20110316,hDJI,11854.2001953125,11856.7001953125,11555.48046875,11613.2998046875,254070000.0,
20110317,hDJI,11614.8896484375,11800.5400390625,11614.8203125,11774.58984375,182260000.0,
20110318,hDJI,11777.23046875,11927.08984375,11777.23046875,11858.51953125,355050000.0,
20110321,hDJI,11860.1103515625,12078.2998046875,11860.1103515625,12036.5302734375,143390000.0,
20110322,hDJI,12036.3701171875,12050.98046875,12002.849609375,12018.6298828125,115660000.0,
20110323,hDJI,12018.400390625,12116.1396484375,11972.6103515625,12086.01953125,133940000.0,
20110324,hDJI,12087.5400390625,12191.1796875,12087.5400390625,12170.5595703125,131610000.0,
20110325,hDJI,12170.7099609375,12259.7900390625,12170.7099609375,12220.58984375,129790000.0,
20110328,hDJI,12221.1904296875,12272.919921875,12197.8798828125,12197.8798828125,123070000.0,
20110329,hDJI,12194.48046875,12285.41015625,12173.509765625,12279.009765625,129030000.0,
20110330,hDJI,12280.0703125,12383.4599609375,12280.0703125,12350.6103515625,140340000.0,
20110331,hDJI,12350.759765625,12381.6796875,12319.009765625,12319.73046875,186140000.0,
20110401,hDJI,12321.01953125,12419.7099609375,12321.01953125,12376.7197265625,147600000.0,
20110404,hDJI,12374.599609375,12407.41015625,12369.150390625,12400.0302734375,114660000.0,
20110405,hDJI,12402.080078125,12438.1396484375,12353.33984375,12393.900390625,142340000.0,
20110406,hDJI,12386.66015625,12450.9296875,12386.66015625,12426.75,182350000.0,
20110407,hDJI,12426.4501953125,12440.5595703125,12328.3603515625,12409.490234375,158590000.0,
20110408,hDJI,12409.8701171875,12450.3603515625,12320.7197265625,12380.0498046875,122820000.0,
20110411,hDJI,12380.4296875,12444.0,12352.8798828125,12381.1103515625,109950000.0,
20110412,hDJI,12381.1904296875,12381.1904296875,12233.0,12263.580078125,137260000.0,
20110413,hDJI,12263.650390625,12335.099609375,12224.4501953125,12270.990234375,118950000.0,
20110414,hDJI,12270.240234375,12305.580078125,12163.8603515625,12285.150390625,140670000.0,
20110415,hDJI,12285.4501953125,12369.26953125,12272.580078125,12341.830078125,234710000.0,
20110418,hDJI,12339.7099609375,12339.7900390625,12093.8896484375,12201.58984375,190220000.0,
20110419,hDJI,12201.4404296875,12275.33984375,12200.2998046875,12266.75,149870000.0,
20110420,hDJI,12266.75,12475.5302734375,12263.580078125,12453.5400390625,203900000.0,
20110421,hDJI,12453.6201171875,12506.0595703125,12447.5595703125,12505.990234375,166630000.0,
20110425,hDJI,12505.990234375,12506.2197265625,12446.0498046875,12479.8798828125,128660000.0,
20110426,hDJI,12480.8603515625,12613.16015625,12478.1396484375,12595.3701171875,183980000.0,
20110427,hDJI,12592.23046875,12708.3701171875,12588.330078125,12690.9599609375,160550000.0,
20110428,hDJI,12689.900390625,12776.1396484375,12674.5400390625,12763.3095703125,148760000.0,
20110429,hDJI,12763.4599609375,12832.830078125,12751.1298828125,12810.5400390625,378620000.0,
20110502,hDJI,12810.16015625,12876.0,12784.6201171875,12807.3603515625,150960000.0,
20110503,hDJI,12806.3798828125,12840.66015625,12749.990234375,12807.509765625,191510000.0,
20110504,hDJI,12806.2900390625,12806.6796875,12673.01953125,12723.580078125,193720000.0,
