date,code,open,high,low,close,volume,amount
20211201,h000016,3166.6133,3182.3822,3165.6966,3180.418,2500413500.0,70578360999.0
20211202,h000016,3179.9886,3198.0314,3169.0232,3190.8718,2741773700.0,72571925166.0
20211203,h000016,3191.1742,3221.4223,3191.1742,3221.4223,2726907900.0,86537208757.0
20211206,h000016,3234.4305,3257.1878,3223.2093,3228.1422,3541274300.0,92818439924.0
20211207,h000016,3255.5554,3262.0849,3237.1585,3254.4994,3778374300.0,92537336253.0
20211208,h000016,3263.2584,3306.9731,3247.3261,3304.708,3274665800.0,94746328236.0
20211209,h000016,3312.3332,3393.1608,3309.9498,3360.1836,4255631300.0,119308179951.0
20211210,h000016,3339.2392,3353.6302,3332.9864,3353.6302,3939067800.0,96470045967.0
20211213,h000016,3391.6223,3428.7376,3363.6875,3366.0678,3974870500.0,117272649774.0
20211214,h000016,3353.0296,3364.5176,3342.1208,3350.4973,3146983300.0,83756119301.0
20211215,h000016,3340.7493,3359.6739,3318.4086,3318.9801,2482180700.0,69106741828.0
20211216,h000016,3312.701,3330.8561,3304.5313,3330.8561,2533735800.0,76775716003.0
20211217,h000016,3321.6691,3330.2307,3278.1157,3278.8985,2633376700.0,80561225749.0
20211220,h000016,3264.098,3294.1326,3247.3008,3255.3515,2784848500.0,74088922755.0
20211221,h000016,3253.2868,3277.3716,3251.9567,3273.0313,2453674100.0,60773736044.0
20211222,h000016,3280.6942,3287.7557,3257.0121,3260.5711,2234285700.0,57344382497.0
20211223,h000016,3265.7065,3287.1877,3246.2353,3287.1877,2141772600.0,58960283554.0
20211224,h000016,3293.3011,3306.9093,3278.2016,3290.2357,2180618400.0,69008555575.0
20211227,h000016,3286.111,3291.9785,3264.0233,3278.4365,1967563600.0,60256738090.0
20211228,h000016,3282.5996,3307.7885,3280.2656,3303.4002,2600226200.0,71780778580.0
20211229,h000016,3308.2134,3308.2313,3240.8452,3240.8452,2009854100.0,72426728874.0
20211230,h000016,3240.2631,3276.9987,3236.1588,3261.7937,2228503200.0,70057607900.0
20211231,h000016,3269.6113,3282.6803,3261.8361,3274.3209,2054996100.0,65632149495.0
20220104,h000016,3277.6652,3281.74,3224.3399,3264.0657,2998263700.0,82422020904.0
20220105,h000016,3259.2059,3289.1578,3244.2134,3254.2793,3706405000.0,92853893505.0
20220106,h000016,3242.5327,3251.1167,3194.9538,3210.3853,3173040300.0,85538373290.0
20220107,h000016,3213.2642,3240.7428,3213.2642,3223.267,4069472400.0,84494627946.0
20220110,h000016,3217.3451,3237.2168,3197.8997,3236.1163,3338280400.0,75572955257.0
20220111,h000016,3229.459,3247.904,3210.4032,3214.5287,3066642000.0,72886959332.0
20220112,h000016,3220.1944,3244.2281,3211.2802,3236.3081,3244169300.0,72452769562.0
20220113,h000016,3243.0468,3247.8173,3182.8465,3184.1069,3478230400.0,77551956562.0
20220114,h000016,3173.8485,3173.8485,3136.9924,3139.0453,3451703200.0,73162063371.0
20220117,h000016,3139.4109,3159.188,3134.0754,3147.6987,2703608500.0,67786628305.0
20220118,h000016,3147.8455,3198.4731,3137.112,3187.5244,3505729400.0,73685209243.0
