date,code,open,high,low,close,volume,amount
20161201,h000300,3543.956,3575.97,3543.245,3565.036,18017076100.0,199637742998.0
20161202,h000300,3559.771,3562.55,3516.788,3528.955,19635548000.0,203742147476.0
20161205,h000300,3473.688,3496.884,3457.343,3469.407,18085235500.0,190175061733.0
20161206,h000300,3466.242,3477.59,3456.807,3459.153,11552909000.0,125727753193.0
20161207,h000300,3458.369,3475.747,3445.756,3475.747,11434510300.0,115282194223.0
20161208,h000300,3481.807,3484.34,3466.512,3470.143,11738392200.0,119188508676.0
20161209,h000300,3464.873,3507.927,3461.761,3493.7,15030330800.0,152674867707.0
20161212,h000300,3489.268,3495.802,3400.793,3409.179,18746775100.0,199163540831.0
20161213,h000300,3394.207,3416.215,3370.596,3405.035,12110509700.0,124454188749.0
20161214,h000300,3399.411,3412.28,3378.266,3378.945,12400774400.0,126182669414.0
20161215,h000300,3363.86,3378.037,3327.143,3340.434,11496066000.0,121507811540.0
20161216,h000300,3335.363,3356.292,3330.493,3346.031,9077542200.0,98112206845.0
20161219,h000300,3342.345,3344.858,3324.999,3328.983,8164067800.0,86095693838.0
20161220,h000300,3328.299,3329.102,3289.268,3309.064,8756959200.0,88527345889.0
20161221,h000300,3313.745,3342.476,3313.745,3338.536,10825499500.0,106205485213.0
20161222,h000300,3335.122,3340.363,3322.719,3335.672,9227724900.0,92564877570.0
20161223,h000300,3333.401,3334.894,3300.884,3307.599,9744471300.0,99575473231.0
20161226,h000300,3293.224,3322.421,3267.048,3322.401,8979398200.0,95493219936.0
20161227,h000300,3319.206,3330.232,3315.832,3316.385,7548635900.0,79617133030.0
20161228,h000300,3315.753,3320.547,3293.174,3301.889,6900043700.0,71759839566.0
20161229,h000300,3297.036,3312.113,3288.096,3297.765,7008792300.0,75972960431.0
20161230,h000300,3302.599,3313.55,3295.751,3310.081,7174411600.0,76921368838.0
20170103,h000300,3313.953,3345.263,3313.953,3342.227,8656789600.0,87612765768.0
20170104,h000300,3340.558,3369.566,3338.153,3368.312,9005082700.0,98014355468.0
20170105,h000300,3368.34,3373.412,3361.462,3367.789,8833635700.0,91189339582.0
20170106,h000300,3366.852,3368.871,3346.891,3347.667,8745911400.0,91072256748.0
20170109,h000300,3345.748,3366.222,3344.347,3363.901,8370794200.0,87916115243.0
20170110,h000300,3361.639,3370.505,3354.088,3358.271,8381916000.0,82533965080.0
20170111,h000300,3355.801,3366.632,3334.298,3334.495,9107143800.0,86750457122.0
20170112,h000300,3332.686,3343.128,3315.963,3317.624,8123913500.0,75031886874.0
20170113,h000300,3317.962,3338.174,3309.374,3319.912,8418058900.0,84556101403.0
20170116,h000300,3314.151,3322.782,3264.207,3319.446,15777913500.0,153262520121.0
20170117,h000300,3305.6,3327.377,3292.204,3326.356,6945332800.0,74754505696.0
20170118,h000300,3323.339,3350.962,3320.406,3339.365,7062322700.0,75680677264.0
20170119,h000300,3330.952,3346.496,3324.684,3329.289,6615980800.0,63869709163.0
20170120,h000300,3326.977,3358.412,3326.374,3354.889,6530046200.0,70831324310.0
20170123,h000300,3359.054,3378.739,3355.847,3364.081,7555749800.0,76492660154.0
20170124,h000300,3363.137,3371.32,3355.899,3364.451,6619422600.0,66049651289.0
20170125,h000300,3361.656,3376.441,3357.218,3375.904,5837693100.0,62483395802.0
20170126,h000300,3378.261,3395.885,3378.261,3387.961,6531664700.0,66488818305.0
20170203,h000300,3390.931,3392.477,3362.565,3364.492,5518886100.0,57113853255.0
20170206,h000300,3368.108,3381.335,3358.752,3373.205,6852136000.0,73408134768.0
20170207,h000300,3371.77,3376.71,3354.625,3365.685,6375446200.0,69758178999.0
20170208,h000300,3361.781,3383.686,3347.43,3383.288,7540287900.0,82869735773.0
20170209,h000300,3381.899,3406.589,3379.787,3396.292,9755851500.0,102134228699.0
20170210,h000300,3398.317,3422.326,3398.03,3413.487,12376872000.0,121908580284.0
20170213,h000300,3416.917,3439.543,3416.875,3436.275,12014453800.0,125332998844.0
20170214,h000300,3438.511,3440.675,3424.403,3435.804,9480946500.0,98537165438.0
20170215,h000300,3435.388,3448.032,3417.081,3421.713,12764333800.0,124653179488.0
20170216,h000300,3421.83,3440.933,3418.351,3440.933,10827696200.0,101809767504.0
20170217,h000300,3443.617,3457.556,3419.614,3421.442,11460003600.0,118033129670.0
20170220,h000300,3421.643,3472.604,3421.643,3471.393,13262886200.0,134681505159.0
20170221,h000300,3475.058,3490.085,3472.017,3482.823,11484200900.0,120675429543.0
20170222,h000300,3483.201,3489.946,3473.524,3489.757,10281599400.0,109232425841.0
20170223,h000300,3487.574,3492.962,3460.118,3473.323,9953633000.0,106555922466.0
20170224,h000300,3468.959,3473.852,3455.251,3473.852,9553513300.0,99875164759.0
20170227,h000300,3471.132,3472.836,3441.394,3446.223,9867216000.0,106830874529.0
20170228,h000300,3445.027,3460.909,3441.359,3452.81,7521526000.0,81979307361.0
20170301,h000300,3452.206,3472.696,3449.109,3458.438,10326035400.0,109317781348.0
20170302,h000300,3463.483,3468.471,3434.001,3435.096,8989807700.0,97876187925.0
20170303,h000300,3424.663,3428.882,3412.831,3427.863,8099465200.0,90009618835.0
20170306,h000300,3427.253,3449.034,3425.904,3446.484,8307088200.0,95178548496.0
20170307,h000300,3446.163,3454.039,3440.057,3453.957,8033472000.0,94483824245.0
20170308,h000300,3452.201,3457.035,3441.258,3448.731,7958769000.0,89124904682.0
20170309,h000300,3442.895,3443.045,3414.678,3426.944,8457038100.0,90090049490.0
20170310,h000300,3423.978,3436.239,3423.937,3427.892,7001619900.0,82161714923.0
20170313,h000300,3425.672,3458.098,3412.688,3458.098,9168412400.0,108489140923.0
20170314,h000300,3456.658,3465.392,3448.903,3456.693,7707796300.0,95317564129.0
20170315,h000300,3452.214,3463.919,3445.268,3463.644,7910495400.0,94056256667.0
20170316,h000300,3472.269,3492.127,3472.269,3481.507,10633391300.0,124695573677.0
20170317,h000300,3485.311,3488.497,3441.469,3445.805,10375556000.0,122368918550.0
20170320,h000300,3449.052,3454.063,3429.825,3449.613,8873432200.0,103769403897.0
20170321,h000300,3449.77,3466.703,3445.642,3466.347,8770785500.0,113528201390.0
20170322,h000300,3450.754,3464.333,3433.5,3450.05,10493589400.0,123865640377.0
20170323,h000300,3452.406,3470.816,3435.691,3461.978,9431806200.0,115813813702.0
20170324,h000300,3464.197,3499.318,3461.111,3489.6,12564583300.0,141752526681.0
20170327,h000300,3488.765,3505.979,3474.521,3478.039,10701537700.0,124388012134.0
20170328,h000300,3480.249,3482.292,3461.468,3469.809,8419482000.0,97495938765.0
20170329,h000300,3472.967,3483.057,3455.553,3465.193,10485170600.0,114663468279.0
20170330,h000300,3461.616,3467.305,3422.366,3436.758,11637692200.0,122088021630.0
20170331,h000300,3434.822,3456.305,3430.82,3456.045,9157749100.0,100984904830.0
20170405,h000300,3476.423,3504.538,3475.149,3503.893,14339901700.0,160742981172.0
20170406,h000300,3507.988,3517.778,3495.725,3514.047,13676700400.0,145221644165.0
20170407,h000300,3514.452,3526.815,3506.388,3517.463,14029320400.0,144559675567.0
20170410,h000300,3519.46,3522.795,3502.083,3505.139,14188738000.0,155747834572.0
